,method,metric
0,IntegratedGradients,1.664823620561177
1,IntegratedGradients,2.0213239362924784
2,IntegratedGradients,1.7978975826039416
3,IntegratedGradients,1.6020687822194268
4,IntegratedGradients,1.6846364521401969
5,IntegratedGradients,1.8592929615052671
6,Saliency,3.6729123301287383
7,Saliency,3.9779151403529345
8,Saliency,2.9096491164986213
9,Saliency,3.014184629577664
10,Saliency,2.7537368625997467
11,Saliency,4.029607161841468
12,GradientShap,1.938571931982867
13,GradientShap,1.9660266028179976
14,GradientShap,2.1372335147876136
15,GradientShap,1.8521928992998051
16,GradientShap,2.173615522454377
17,GradientShap,2.0236959201762716
18,InputXGradient,2.066737626870718
19,InputXGradient,2.0364088158124614
20,InputXGradient,2.068488000856073
21,InputXGradient,2.009558680193922
22,InputXGradient,2.0803426115638475
23,InputXGradient,2.143146311718986
24,causal,0.20701614299410898
25,causal,0.20701614299410898
26,causal,0.2449541504812684
27,causal,0.2449541504812684
28,causal,0.2449541504812684
29,causal,0.2449541504812684
30,IntegratedGradients,1.530773990124045
31,IntegratedGradients,1.4389918535073734
32,IntegratedGradients,1.701145751363433
33,IntegratedGradients,1.466427626670905
34,IntegratedGradients,1.657554952278959
35,IntegratedGradients,1.56049485464486
36,Saliency,3.6444873348545257
37,Saliency,2.578263211479135
38,Saliency,2.610483948461343
39,Saliency,3.334744627530047
40,Saliency,3.83496433602782
41,Saliency,2.5828362274972503
42,GradientShap,1.8047380322697277
43,GradientShap,1.7495571029896202
44,GradientShap,1.9342944946952152
45,GradientShap,1.7796991691280248
46,GradientShap,2.1222859031805243
47,GradientShap,1.7875150520348173
48,InputXGradient,1.7012539899561478
49,InputXGradient,1.8117703988483989
50,InputXGradient,2.0319474655041883
51,InputXGradient,1.7133187418711304
52,InputXGradient,2.1388882436209724
53,InputXGradient,1.7492858332031171
54,causal,0.2744466120313089
55,causal,0.2744466120313089
56,causal,0.2744466120313089
57,causal,0.2744466120313089
58,causal,0.2744466120313089
59,causal,0.28267266156814447
60,IntegratedGradients,1.9054908211200963
61,IntegratedGradients,1.7656759446738792
62,IntegratedGradients,1.5196341082385842
63,IntegratedGradients,1.9045205574494948
64,IntegratedGradients,1.4659005730593773
65,IntegratedGradients,1.5829748022777586
66,Saliency,4.580124229920559
67,Saliency,4.15458311287902
68,Saliency,3.6954735466420354
69,Saliency,4.3669748514852
70,Saliency,3.605749620741775
71,Saliency,3.817948551976995
72,GradientShap,2.1042013132902317
73,GradientShap,2.1647963492162283
74,GradientShap,1.8110108516403318
75,GradientShap,2.125718845183463
76,GradientShap,1.7075101906469696
77,GradientShap,1.8999762183840034
78,InputXGradient,2.1287119008335487
79,InputXGradient,2.1580283215473717
80,InputXGradient,1.7395063647086568
81,InputXGradient,2.1489745619922616
82,InputXGradient,1.7306401632793023
83,InputXGradient,2.208938801596662
84,causal,0.20987572603007565
85,causal,0.20987572603007565
86,causal,0.21462923017842817
87,causal,0.21462923017842817
88,causal,0.4065990225711601
89,causal,0.4065990225711601
90,IntegratedGradients,1.5958397196001979
91,IntegratedGradients,1.6975037955197623
92,IntegratedGradients,1.4794882885981366
93,IntegratedGradients,1.380311201891191
94,IntegratedGradients,1.9166196358673728
95,IntegratedGradients,1.6693671739510312
96,Saliency,2.580105339657876
97,Saliency,3.3534391184610115
98,Saliency,3.930197323086149
99,Saliency,3.232200486209714
100,Saliency,5.143949887865739
101,Saliency,3.8877886772754944
102,GradientShap,1.960516402918412
103,GradientShap,2.0030529801025017
104,GradientShap,1.7843899928853957
105,GradientShap,1.736439958827802
106,GradientShap,2.090152251914111
107,GradientShap,2.113303715914304
108,InputXGradient,1.8644019878810665
109,InputXGradient,2.044816115207996
110,InputXGradient,1.961879007543755
111,InputXGradient,1.744329871186081
112,InputXGradient,2.1727955123628595
113,InputXGradient,2.16861301872559
114,causal,0.24956915368867094
115,causal,0.24956915368867094
116,causal,0.24956915368867094
117,causal,0.32683594695825136
118,causal,0.32683594695825136
119,causal,0.32683594695825136
120,IntegratedGradients,1.4876715667215923
121,IntegratedGradients,1.8261184842175073
122,IntegratedGradients,1.5179009218844666
123,IntegratedGradients,2.1772884704204545
124,IntegratedGradients,1.690800597984355
125,IntegratedGradients,1.7470928343771674
126,Saliency,2.25051631689398
127,Saliency,4.314101813195461
128,Saliency,2.276458991082374
129,Saliency,4.588572114988413
130,Saliency,3.094829201948977
131,Saliency,2.9337462024336873
132,GradientShap,2.1128260279214506
133,GradientShap,2.181983748918169
134,GradientShap,1.8622776395187657
135,GradientShap,2.32913492596218
136,GradientShap,2.0295158747210205
137,GradientShap,1.9605913112912519
138,InputXGradient,1.9339971784076146
139,InputXGradient,2.134254986004677
